sample_id,bodysite,gut_pharynx ,gut_mouth,pharynx_mouth
SRR8371966,gut,gut,gut,
SRR8371967,gut,gut,gut,
SRR8371968,gut,gut,gut,
SRR8371969,gut,gut,gut,
SRR8371970,gut,gut,gut,
SRR8371971,gut,gut,gut,
SRR8371972,gut,gut,gut,
SRR8371973,gut,gut,gut,
SRR8371974,gut,gut,gut,
SRR8371975,gut,gut,gut,
SRR8371976,gut,gut,gut,
SRR8371977,gut,gut,gut,
SRR8371978,gut,gut,gut,
SRR10411689,mouth,,mouth,mouth
SRR10411690,mouth,,mouth,mouth
SRR10411691,mouth,,mouth,mouth
SRR10411692,mouth,,mouth,mouth
SRR10411693,mouth,,mouth,mouth
SRR10411694,mouth,,mouth,mouth
SRR10411695,mouth,,mouth,mouth
SRR10411696,mouth,,mouth,mouth
SRR10411697,mouth,,mouth,mouth
SRR10411698,mouth,,mouth,mouth
SRR10411699,mouth,,mouth,mouth
SRR10411700,mouth,,mouth,mouth
SRR10411701,mouth,,mouth,mouth
SRR10411702,mouth,,mouth,mouth
SRR10411703,mouth,,mouth,mouth
SRR10411704,mouth,,mouth,mouth
SRR10411705,mouth,,mouth,mouth
SRR10411706,mouth,,mouth,mouth
SRR10411707,mouth,,mouth,mouth
SRR10411708,mouth,,mouth,mouth
SRR10411709,mouth,,mouth,mouth
SRR10411710,mouth,,mouth,mouth
SRR10411711,mouth,,mouth,mouth
SRR10411712,mouth,,mouth,mouth
SRR10411713,mouth,,mouth,mouth
SRR10411714,mouth,,mouth,mouth
SRR10411715,mouth,,mouth,mouth
SRR10411716,mouth,,mouth,mouth
SRR10411717,mouth,,mouth,mouth
SRR10411718,mouth,,mouth,mouth
SRR10411719,mouth,,mouth,mouth
SRR10411720,mouth,,mouth,mouth
SRR10411721,mouth,,mouth,mouth
SRR10411722,mouth,,mouth,mouth
SRR10411723,mouth,,mouth,mouth
SRR10411724,mouth,,mouth,mouth
SRR10411725,mouth,,mouth,mouth
SRR10411726,mouth,,mouth,mouth
SRR10411727,mouth,,mouth,mouth
SRR10411728,mouth,,mouth,mouth
SRR10411729,mouth,,mouth,mouth
SRR10411730,mouth,,mouth,mouth
SRR10411731,mouth,,mouth,mouth
SRR10411732,mouth,,mouth,mouth
SRR10411733,mouth,,mouth,mouth
SRR10411734,mouth,,mouth,mouth
SRR10411735,mouth,,mouth,mouth
SRR10411736,mouth,,mouth,mouth
SRR10411737,mouth,,mouth,mouth
SRR10411738,mouth,,mouth,mouth
SRR10411739,mouth,,mouth,mouth
SRR10411740,mouth,,mouth,mouth
SRR10411741,mouth,,mouth,mouth
SRR10411742,mouth,,mouth,mouth
SRR10411743,mouth,,mouth,mouth
SRR10411744,mouth,,mouth,mouth
SRR10411745,mouth,,mouth,mouth
SRR10411746,mouth,,mouth,mouth
SRR10411747,mouth,,mouth,mouth
SRR10411748,mouth,,mouth,mouth
SRR10411749,mouth,,mouth,mouth
SRR10411750,mouth,,mouth,mouth
SRR10411751,mouth,,mouth,mouth
SRR10411752,mouth,,mouth,mouth
SRR10411753,mouth,,mouth,mouth
SRR10411754,mouth,,mouth,mouth
SRR10411755,mouth,,mouth,mouth
SRR10411756,mouth,,mouth,mouth
SRR10411757,mouth,,mouth,mouth
SRR10411758,mouth,,mouth,mouth
SRR10411759,mouth,,mouth,mouth
SRR10411760,mouth,,mouth,mouth
SRR10411761,mouth,,mouth,mouth
SRR10411762,mouth,,mouth,mouth
SRR10411763,mouth,,mouth,mouth
SRR10411764,mouth,,mouth,mouth
SRR10411765,mouth,,mouth,mouth
SRR10411766,mouth,,mouth,mouth
SRR10411767,mouth,,mouth,mouth
SRR10411768,mouth,,mouth,mouth
SRR10411769,mouth,,mouth,mouth
SRR10411770,mouth,,mouth,mouth
SRR10411771,mouth,,mouth,mouth
SRR10411772,mouth,,mouth,mouth
SRR10411773,mouth,,mouth,mouth
SRR10411774,mouth,,mouth,mouth
SRR10411775,mouth,,mouth,mouth
SRR10411776,mouth,,mouth,mouth
SRR10411777,mouth,,mouth,mouth
SRR10411778,mouth,,mouth,mouth
SRR10411779,mouth,,mouth,mouth
SRR10411780,mouth,,mouth,mouth
SRR10411781,mouth,,mouth,mouth
SRR10411782,mouth,,mouth,mouth
SRR10411783,mouth,,mouth,mouth
